"Country or Area","Year","Value"
"Australia","2016","102804.927108698"
"Australia","2015","102326.085615556"
"Australia","2014","101649.015996568"
"Australia","2013","103672.344678162"
"Australia","2012","104594.303230287"
"Australia","2011","105092.283616163"
"Australia","2010","103085.796605804"
"Australia","2009","105096.379539366"
"Australia","2008","105746.360259709"
"Australia","2007","107547.7360194"
"Australia","2006","107749.935305315"
"Australia","2005","108280.564232942"
"Australia","2004","106592.020871487"
"Australia","2003","104638.699560566"
"Australia","2002","109679.502364871"
"Australia","2001","111415.879358142"
"Australia","2000","113009.840724473"
"Australia","1999","109527.567766336"
"Australia","1998","113595.149731319"
"Australia","1997","114634.229297482"
"Australia","1996","111818.008548231"
"Australia","1995","111684.518229061"
"Australia","1994","113054.286783691"
"Australia","1993","116250.889986857"
"Australia","1992","119701.365686302"
"Australia","1991","120165.458029151"
"Australia","1990","120087.051949854"
"Austria","2016","6567.07221054138"
"Austria","2015","6631.77879860547"
"Austria","2014","6708.72508144014"
"Austria","2013","6850.7866102906"
"Austria","2012","6942.72706618892"
"Austria","2011","7052.61828337274"
"Austria","2010","7255.02138023615"
"Austria","2009","7354.47773829459"
"Austria","2008","7445.86556642841"
"Austria","2007","7579.41396829148"
"Austria","2006","7704.57829085569"
"Austria","2005","7829.76175358202"
"Austria","2004","8067.72520999013"
"Austria","2003","8067.11118312844"
"Austria","2002","8130.44387065067"
"Austria","2001","8274.37566078385"
"Austria","2000","8433.82676396536"
"Austria","1999","8597.36375923568"
"Austria","1998","8776.35567709857"
"Austria","1997","8954.78737881511"
"Austria","1996","9256.91226680005"
"Austria","1995","9561.36582786115"
"Austria","1994","9627.6947739966"
"Austria","1993","9914.99881167359"
"Austria","1992","9999.54593291184"
"Austria","1991","10283.8663544369"
"Austria","1990","10405.4855771638"
"Belarus","2016","17028.1322776984"
"Belarus","2015","17368.6628374972"
"Belarus","2014","16973.4442818246"
"Belarus","2013","16871.3132598638"
"Belarus","2012","16367.2090905928"
"Belarus","2011","16061.0067406986"
"Belarus","2010","16388.6753936571"
"Belarus","2009","15956.8134429841"
"Belarus","2008","15881.8801327962"
"Belarus","2007","14820.1515190623"
"Belarus","2006","14386.7230615454"
"Belarus","2005","13938.8805080983"
"Belarus","2004","14006.883227215"
"Belarus","2003","13259.4498993768"
"Belarus","2002","13133.1003612864"
"Belarus","2001","13263.9156602588"
"Belarus","2000","13392.8584885917"
"Belarus","1999","13614.7282195294"
"Belarus","1998","14047.2512944026"
"Belarus","1997","14087.7547005088"
"Belarus","1996","14116.7832098831"
"Belarus","1995","14195.4660447888"
"Belarus","1994","14973.6423446468"
"Belarus","1993","15748.1723069296"
"Belarus","1992","16681.0737837343"
"Belarus","1991","17814.6888366893"
"Belarus","1990","18604.5301743923"
"Belgium","2016","8043.9175191366"
"Belgium","2015","8106.55720110602"
"Belgium","2014","8154.43118574233"
"Belgium","2013","8242.25272057454"
"Belgium","2012","8391.42960346649"
"Belgium","2011","8523.25559041914"
"Belgium","2010","8789.09760272458"
"Belgium","2009","8833.55596659075"
"Belgium","2008","8899.37294705182"
"Belgium","2007","9100.17283727726"
"Belgium","2006","9157.87038921966"
"Belgium","2005","9254.10706686383"
"Belgium","2004","9497.7993274846"
"Belgium","2003","9548.98238048699"
"Belgium","2002","10124.6121580297"
"Belgium","2001","10558.6988262261"
"Belgium","2000","11008.005450882"
"Belgium","1999","11451.0544731266"
"Belgium","1998","11707.5451249575"
"Belgium","1997","11873.1205555714"
"Belgium","1996","11982.8363816193"
"Belgium","1995","12136.5211762878"
"Belgium","1994","12055.7425989361"
"Belgium","1993","12009.0797155708"
"Belgium","1992","12058.8752465931"
"Belgium","1991","12151.1597117648"
"Belgium","1990","12197.2031600203"
